article,person,scope_decision,in_registry,construct,reason,evidence_category,n_categories,wikidata_country,us_evidence,non_us_evidence,article_first_sentence
Killing_of_Dylan_Noble,Dylan Noble,include,True,police_violence,police-action category: People killed by law enforcement officers in the United States,People killed by law enforcement officers in the United States,10,,2016 controversies in the United States,,"On June 25, 2016, two officers of the Fresno Police Department shot Dylan Noble, a 19-year-old man from Clovis, California, to death during a traffic stop in the east side of Fresno, California"
Killing_of_Alton_Sterling,Alton Sterling,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Louisiana,African Americans shot dead by law enforcement officers in Louisiana,11,United States,2016 controversies in the United States,,"On July 5, 2016, Alton Sterling, a 37-year-old black man, was shot and killed by two Baton Rouge Police Department officers, Blane Salamoni and Howie Lake II, in Baton Rouge, Louisiana, United States"
Killing_of_Philando_Castile,Philando Castile,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Minnesota,African Americans shot dead by law enforcement officers in Minnesota,14,United States,2016 controversies in the United States,,"On July 6, 2016, Philando Castile, a 32-year-old African American man, was fatally shot during a traffic stop by police officer Jeronimo Yanez of the St"
Micah_Xavier_Johnson,Micah Xavier Johnson,include,True,anti_police,categorised as a perpetrator: 21st-century American murderers,21st-century American murderers,19,,21st-century American murderers,,"Micah Xavier Johnson (July 2, 1991 – July 8, 2016) was an American Army reserve Afghan war veteran, black nationalist, and mass murderer who perpetrated the 2016 shooting of Dallas police officers during a Black Lives Matter protest"
Killing_of_Joseph_Mann,Joseph Mann,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in California,African Americans shot dead by law enforcement officers in California,8,,2016 in California,,"On July 11, 2016, Randy Lozoya and John Tennis, two Sacramento police officers, attempted to run over, and later shot and killed Joseph Mann, a 51-year-old mentally ill and homeless African-American man armed with a knife."
Shooting_of_Charles_Kinsey,Charles Kinsey,include,False,police_violence,police-action category: Law enforcement in Florida,Law enforcement in Florida,12,United States,2016 controversies in the United States,,"On July 18, 2016, Charles Kinsey, a behavior therapist, was shot in the leg by a police officer in North Miami, Florida United States"
Killing_of_Korryn_Gaines,Korryn Gaines,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in the United States,African Americans shot dead by law enforcement officers in the United States,11,United States,2016 in Maryland,,"The killing of Korryn Gaines occurred on August 1, 2016, in Randallstown, Maryland, near Baltimore, resulting in the death of Gaines, a 23-year-old woman, and the shooting of her son, who survived"
Killing_of_Tony_Timpa,Tony Timpa,include,True,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,13,,2010s crimes in Texas,,"On August 10, 2016, Anthony ""Tony"" Allen Timpa, a 32-year-old, unarmed man, was killed in Dallas, Texas by police officer Dustin Dillard"
Killing_of_Terence_Crutcher,Terence Crutcher,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in the United States,African Americans shot dead by law enforcement officers in the United States,11,United States,2016 in Oklahoma,,"On September 16, 2016, police officer Betty Jo Shelby shot and killed Terence Crutcher—a 40-year-old Black motorist—in Tulsa, Oklahoma"
Killing_of_Keith_Lamont_Scott,Keith Lamont Scott,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in North Carolina,African Americans shot dead by law enforcement officers in North Carolina,16,,2016 controversies in the United States,,"Keith Lamont Scott was a 43-year-old African-American man who was fatally shot on September 20, 2016, in Charlotte, North Carolina, by Brentley Vinson, an African-American city police officer"
Killing_of_Alfred_Olango,Alfred Olango,include,True,police_violence,police-action category: African people shot dead by law enforcement officers in the United States,African people shot dead by law enforcement officers in the United States,10,,2016 in California,,"On September 27, 2016, Alfred Olango, a 38-year old former refugee from Uganda, was shot and killed by police responding to a 911 call occurred in El Cajon, California, United States"
Killing_of_Deborah_Danner,Deborah Danner,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in the Bronx,African Americans shot dead by law enforcement officers in the Bronx,9,,2016 in New York City,,"Deborah Danner, 66, was fatally shot by New York City Police Department Sgt"
Murder_of_Jordan_Edwards,Jordan Edwards,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Texas,African Americans shot dead by law enforcement officers in Texas,15,United States,2017 controversies in the United States,,"On April 29, 2017, Jordan Edwards, a 15-year-old African-American boy, was murdered by police officer Roy Oliver in Balch Springs, Texas, within the Dallas-Fort Worth metroplex"
Killing_of_Patrick_Harmon,Patrick Harmon,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in the United States,African Americans shot dead by law enforcement officers in the United States,12,,2017 controversies in the United States,,"Patrick Harmon was a 50-year-old African-American man fatally shot from behind by police officer Clinton Fox in Salt Lake City, Utah, on August 13, 2017"
Killing_of_John_Albers,John Albers,include,True,police_violence,police-action category: People killed by law enforcement officers in the United States,People killed by law enforcement officers in the United States,4,,2018 controversies in the United States,,"On January 20, 2018, John Albers, a 17-year old male, was shot and killed by an Overland Park Police officer responding to a report of a suicidal male."
Killing_of_Anthony_Weber,Anthony Weber,include,False,police_violence,police-action category: Los Angeles County Sheriff's Department,Los Angeles County Sheriff's Department,11,,African-American history in Los Angeles,,"On February 4, 2018, Anthony Weber, a 16-year-old African-American boy, was fatally shot by deputies from the Los Angeles County Sheriff's Department in Westmont, California"
Killing_of_Claudia_Gómez_González,Claudia Gómez González,include,False,police_violence,police-action category: Hispanic and Latino American people shot dead by law enforcement officers in Texas,Hispanic and Latino American people shot dead by law enforcement officers in Texas,14,,2018 controversies in the United States,,"Claudia Patricia Gómez González (9 February 1998 – 23 May 2018) was a Guatemalan woman shot by a US Border Patrol agent on 23 May 2018 after crossing the US-Mexican border near Rio Bravo, Texas."
Killing_of_Antwon_Rose_Jr.,Antwon Rose Jr.,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Pennsylvania,African Americans shot dead by law enforcement officers in Pennsylvania,12,,2018 controversies in the United States,,"Antwon Rose II was a 17-year-old African-American who was fatally shot in East Pittsburgh on June 19, 2018, by East Pittsburgh Police Department officer Michael Rosfeld after being suspected of attempted murder by participating in a drive-by shooting"
Killing_of_Markeis_McGlockton,Markeis McGlockton,include,False,unestablished,no law-enforcement category among 19,,19,United States,2018 controversies in the United States,,"On July 19, 2018, Markeis McGlockton, 28, was fatally shot by Michael Drejka in a parking lot outside a convenience store in Clearwater, Florida"
Killing_of_Daniel_Hambrick,Daniel Hambrick,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Tennessee,African Americans shot dead by law enforcement officers in Tennessee,10,,2018 controversies in the United States,,"On July 26, 2018, Daniel Edward Hambrick, a 25 year old African-American was shot and killed by officer Andrew Delke of the Nashville, Tennessee police department"
Vanessa_Marquez,Vanessa Marquez,include,True,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,18,,20th-century American actresses,,"Vanessa Rosalia Marquez (December 21, 1968 – August 30, 2018) was an American actress"
Death_of_Tamla_Horsford,Tamla Horsford,include,False,unestablished,"only a topic category, which does not name an actor: Law enforcement controversies in the United States",Law enforcement controversies in the United States,8,United States,2018 controversies in the United States,,"On November 4, 2018, Tamla Horsford was discovered dead in the backyard of the Cumming, Georgia, home where she had been attending a slumber party with other ""football moms"" the night before"
Killing_of_Emantic_Fitzgerald_Bradford_Jr.,Emantic Fitzgerald Bradford Jr.,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Alabama,African Americans shot dead by law enforcement officers in Alabama,9,,2018 controversies in the United States,,"On November 22, 2018, Emantic Fitzgerald Bradford Jr., an African-American man, was shot three times from behind and killed by Hoover police officer David Alexander on the night of Thanksgiving, at the Riverchase Galleria shopping mall in Hoover, Alabama"
Killing_of_George_Robinson,George Robinson,include,True,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,10,United States,2019 controversies in the United States,,"On January 13, 2019, George Robinson, a 62-year-old Black man, died two days after a violent arrest by three Black police officers in Jackson, Mississippi"
Killing_of_Willie_McCoy,Willie McCoy,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in California,African Americans shot dead by law enforcement officers in California,10,,2019 controversies in the United States,,"Willie McCoy, also known as Willie Bo, was a 20 year old African-American rapper, killed by six police officers in Vallejo, California, on February 9, 2019"
Killing_of_Javier_Ambler,Javier Ambler,include,False,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,16,,2019 crimes in Texas,,"On March 28, 2019, Javier Ambler II died of heart failure while being arrested by police in Austin, Texas, after fleeing from deputies who sought to stop him for a traffic violation"
Killing_of_Ronald_Greene,Ronald Greene,include,True,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,12,,2019 controversies in the United States,,"On May 10, 2019, Ronald Hardin Greene, an unarmed 49-year-old Black man, was killed after being arrested by Louisiana State Police following a high-speed chase outside Monroe, Louisiana"
Murder_of_Jared_Lakey,Jared Lakey,include,True,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,11,,2019 in Oklahoma,,"On July 4, 2019, police officers Joshua L"
Killing_of_Elijah_McClain,Elijah McClain,include,True,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,26,United States,2010s crimes in Colorado,,"Elijah Jovan McClain (February 25, 1996 – August 30, 2019) was a 23-year-old black American man from Aurora, Colorado, who was killed as a result of being illegally injected with 500 mg of ketamine by paramedics after being forcibly detained by police officers"
Killing_of_Atatiana_Jefferson,Atatiana Jefferson,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Texas,African Americans shot dead by law enforcement officers in Texas,13,United States,2019 controversies in the United States,,"Atatiana Koquice Jefferson was a 28-year-old African-American woman who was fatally shot inside her home by a police officer in Fort Worth, Texas, in the early morning of October 12, 2019"
Killing_of_Alvin_Cole,Alvin Cole,include,True,police_violence,listed in the Mapping Police Violence registry,,12,United States,2020 United States racial unrest,,"On the evening of February 2, 2020, Alvin Cole, a 17-year-old black male, was fatally shot by a Wauwatosa, Wisconsin black male police officer Joseph Mensah, outside Mayfair Mall in Wauwatosa"
Murder_of_Ahmaud_Arbery,Ahmaud Arbery,include,False,unestablished,no law-enforcement category among 18,,18,United States,2020 United States racial unrest,,"On February 23, 2020, Ahmaud Arbery, a 25-year-old black man, was murdered during a racially motivated hate crime while jogging in Satilla Shores, a neighborhood near Brunswick in Glynn County, Georgia"
Killing_of_Manuel_Ellis,Manuel Ellis,include,False,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,17,,2020 controversies in the United States,,"Manuel Ellis was a 33-year-old African American man who was killed during an arrest on March 3, 2020, in Tacoma, Washington by the Tacoma Police Department"
Killing_of_Duncan_Lemp,Duncan Lemp,include,False,police_violence,police-action category: People shot dead by law enforcement officers in Maryland,People shot dead by law enforcement officers in Maryland,8,United States,2020 in Maryland,,"On March 12, 2020, Duncan Socrates Lemp was fatally shot at his home in Potomac, Maryland during a no-knock search by the Montgomery County Police Department's SWAT team"
Killing_of_Breonna_Taylor,Breonna Taylor,include,True,police_violence,listed in the Mapping Police Violence registry,,13,United States,2020 United States racial unrest,,"Breonna Taylor, a 26-year-old African-American medical worker, was killed on March 13, 2020, after police officers from the Louisville Metro Police Department (LMPD) forcibly entered her home"
Killing_of_Daniel_Prude,Daniel Prude,include,False,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,11,United States,2020 United States racial unrest,,"On March 23, 2020, Daniel Prude, a 41-year-old African-American man, died after being physically restrained by Rochester, New York police officers"
Killing_of_Nina_Pop,Nina Pop,include,False,unestablished,no law-enforcement category among 14,,14,United States,2020 controversies in the United States,,"In May 2020, Nina Pop, a young transgender woman of color, was stabbed to death in her Missouri apartment"
Killing_of_Bernardo_Palacios-Carbajal,Bernardo Palacios-Carbajal,include,True,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,10,United States,2020 controversies in the United States,,"On May 23, 2020, police officers killed 22-year-old Bernardo Palacios-Carbajal in Salt Lake City, Utah"
George_Floyd,George Floyd,include,True,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,34,,20th-century African-American male singers,,George Perry Floyd Jr
Killing_of_Dion_Johnson,Dion Johnson,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in the United States,African Americans shot dead by law enforcement officers in the United States,11,,2020 controversies in the United States,,"On May 25, 2020, Dion Johnson, a 28-year-old Black man, was killed in Phoenix, Arizona, United States"
Murder_of_George_Floyd,George Floyd,include,True,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,27,United States,2020 United States racial unrest,,"On May 25, 2020, George Floyd, a 46-year-old Black American man, was murdered by Derek Chauvin, a 44-year-old White police officer, in Minneapolis, Minnesota, United States"
Killing_of_Tony_McDade,Tony McDade,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Florida,African Americans shot dead by law enforcement officers in Florida,12,United States,2020 controversies in the United States,,"On May 27, 2020, after 11 a.m., a 38-year-old African-American transgender man, Tony McDade, was fatally shot in the Leon Arms apartment complex by an officer of the Tallahassee Police Department, following the fatal stabbing of Malik Jackson on nearby Saxon Street"
Killing_of_James_Scurlock,James Scurlock,include,False,unestablished,no law-enforcement category among 14,,14,United States,2020 controversies in the United States,,"On May 30, 2020, James Scurlock, a 22-year-old man caught on a camera inside of an Old Market business, moments before he was fatally shot by a 38-year-old bar owner, Jacob ""Jake"" Gardner"
Killing_of_David_McAtee,David McAtee,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Kentucky,African Americans shot dead by law enforcement officers in Kentucky,17,United States,2020 controversies in the United States,,"On June 1, 2020, David McAtee, a 53-year-old African-American man, was fatally shot by the Kentucky Army National Guard in Louisville during nationwide protests following the murder of George Floyd and the killing of Breonna Taylor"
Killing_of_Sean_Monterrosa,Sean Monterrosa,include,True,police_violence,police-action category: Hispanic and Latino American people shot dead by law enforcement officers in California,Hispanic and Latino American people shot dead by law enforcement officers in California,18,United States,2020 United States racial unrest,,"Sean Monterrosa was a 22-year-old Latino American man who was shot and killed on June 2, 2020, by Vallejo, California, police officer Jarrett Tonn"
Killing_of_Carlos_Carson,Carlos Carson,include,False,unestablished,"only a topic category, which does not name an actor: Law enforcement controversies in the United States",Law enforcement controversies in the United States,17,United States,2020 controversies in the United States,,"On June 6, 2020, Carlos Carson, an unarmed African American man in Tulsa, Oklahoma, was assaulted and killed by a private security guard with an extensive and controversial law enforcement background."
Killing_of_Rayshard_Brooks,Rayshard Brooks,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Georgia (U.S. state),African Americans shot dead by law enforcement officers in Georgia (U.S. state),15,United States,2020 United States racial unrest,,"On the night of June 12, 2020, Rayshard Brooks, a 27-year-old black American man, was confronted by officers of the Atlanta Police Department (APD) and was shot by APD officer Garrett Rolfe"
Killing_of_Andres_Guardado,Andres Guardado,include,True,police_violence,police-action category: Hispanic and Latino American people shot dead by law enforcement officers in California,Hispanic and Latino American people shot dead by law enforcement officers in California,11,,2020 United States racial unrest,,"Andres Guardado (November 3, 2001 – June 18, 2020) was an 18-year-old Salvadoran-American man shot in the back and killed by a deputy sheriff from the Los Angeles County Sheriff's Department on June 18, 2020, in the unincorporated community of  West Rancho Dominguez, California, just outside of the Harbor Gateway section of the City of Los Angeles"
Killing_of_Julian_Lewis,Julian Lewis,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Georgia (U.S. state),African Americans shot dead by law enforcement officers in Georgia (U.S. state),11,United States,2020 controversies in the United States,,"On August 7, 2020, Julian Edward Roosevelt Lewis, an unarmed 60-year-old American carpenter, was fatally shot by Georgia State Patrol officer Jacob Gordon Thompson, on a rural road in Screven County, Georgia"
Shooting_of_Jacob_Blake,Jacob Blake,include,False,police_violence,police-action category: Law enforcement in Wisconsin,Law enforcement in Wisconsin,11,United States,2020 United States racial unrest,,"On August 23, 2020, Jacob S"
Killing_of_Dijon_Kizzee,Dijon Kizzee,include,True,police_violence,police-action category: Hispanic and Latino American people shot dead by law enforcement officers in California,Hispanic and Latino American people shot dead by law enforcement officers in California,13,,2020 United States racial unrest,,"Dijon Kizzee (February 5, 1991 – August 31, 2020), an African-American man, was shot and killed in the Los Angeles County community of Westmont on August 31, 2020, by deputies of the Los Angeles County Sheriff's Department (LASD)"
Killing_of_Marcellis_Stinnette,Marcellis Stinnette,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Illinois,African Americans shot dead by law enforcement officers in Illinois,12,United States,2020 United States racial unrest,,"Marcellis Stinnette, a 19-year-old Black man, was fatally shot by police officer Dante Salinas in Waukegan, Illinois, United States shortly before midnight on October 20, 2020"
Killing_of_Walter_Wallace,Walter Wallace,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Pennsylvania,African Americans shot dead by law enforcement officers in Pennsylvania,16,,2020 United States racial unrest,,"On October 26, 2020, Walter Wallace Jr., a 27-year-old African American man, was fatally shot by Philadelphia police officers Sean Matarazzo and Thomas Munz at 6100 Locust Street in the Cobbs Creek section of Philadelphia, Pennsylvania"
Killing_of_Casey_Goodson,Casey Goodson,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Ohio,African Americans shot dead by law enforcement officers in Ohio,14,,2020 United States racial unrest,,"On December 4, 2020, Casey Goodson, a 23-year-old African American man, was shot and killed by Jason Meade, a deputy with the Franklin County Sheriff's Office, in Columbus, Ohio"
Murder_of_Andre_Hill,Andre Hill,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Ohio,African Americans shot dead by law enforcement officers in Ohio,18,United States,2020 United States racial unrest,,"On December 22, 2020, Andre Hill, a 47-year-old African American man, was shot and killed by Adam Coy, a police officer of the Columbus Division of Police in Columbus, Ohio"
Killing_of_Angelo_Quinto,Angelo Quinto,include,True,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,10,,2020 United States racial unrest,,"Angelo Quinto (March 10, 1990 – December 26, 2020) was a 30-year-old Filipino-American Navy veteran who died on December 26, 2020, from complications after being knelt on the neck by a police officer three days earlier"
Killing_of_Christian_Hall,Christian Hall,include,True,police_violence,police-action category: Asian people shot dead by law enforcement officers in the United States,Asian people shot dead by law enforcement officers in the United States,11,United States,2020 United States racial unrest,,"Christian Joseph Hall (October 31, 2001 – December 30, 2020) was a 19-year-old Chinese American man from Stroudsburg, Pennsylvania, who was shot and killed by Pennsylvania State troopers in neighboring Bartonsville, Pennsylvania, on December 30, 2020"
Killing_of_Dolal_Idd,Dolal Idd,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Minnesota,African Americans shot dead by law enforcement officers in Minnesota,14,United States,2020 United States racial unrest,,Dolal Idd was a 23-year-old Somali-American man who was killed in an exchange of gunfire with Minneapolis police officers at approximately 6:15 p.m
Death_of_Marvin_Scott,Marvin Scott,include,False,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,9,,2021 United States racial unrest,,"Marvin David Scott III (1994/1995 – March 14, 2021) was an African American man who died on March 14, 2021, in police custody at a correctional facility in McKinney, Texas, United States"
Killing_of_Adam_Toledo,Adam Toledo,include,True,police_violence,police-action category: Chicago Police Department,Chicago Police Department,11,United States,2021 controversies in the United States,,"On March 29, 2021, Adam Toledo, a 13-year-old Latino American boy, was shot and killed by Chicago Police Department (CPD) officer Eric Stillman in the Little Village neighborhood on the West Side of Chicago at 2:38 a.m"
Killing_of_Anthony_Alvarez,Anthony Alvarez,include,True,police_violence,police-action category: Chicago Police Department,Chicago Police Department,8,United States,2021 controversies in the United States,,"On March 31, 2021, Anthony Alvarez, a 22-year-old Latino man, was shot and killed by a Chicago Police Department officer in the Portage Park neighborhood on the Northwest Side of Chicago"
Killing_of_Daunte_Wright,Daunte Wright,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Minnesota,African Americans shot dead by law enforcement officers in Minnesota,11,United States,2021 United States racial unrest,,"On April 11, 2021, Daunte Wright, a 20-year-old American man, was fatally shot in Brooklyn Center, Minnesota, by police officer Kimberly Potter during a traffic stop and attempted arrest for an outstanding warrant"
Killing_of_Lindani_Myeni,Lindani Myeni,include,True,police_violence,police-action category: African people shot dead by law enforcement officers in the United States,African people shot dead by law enforcement officers in the United States,8,,African people shot dead by law enforcement officers in the United States,,"On April 14, 2021, three officers from the Honolulu Police Department shot and killed 29-year-old Lindani Myeni fronting a home in Nuʻuanu, Honolulu County, Hawaii due to a misunderstanding by a guest at the B&B"
Death_of_Mario_Gonzalez,Mario Gonzalez,include,True,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,13,United States,2021 controversies in the United States,,"On April 19, 2021, Mario Gonzalez, an unarmed 26-year-old Latino man, died while under police custody by the Alameda, California Police Department"
Killing_of_Ma'Khia_Bryant,Ma'Khia Bryant,include,True,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,9,United States,2021 United States racial unrest,,"On April 20, 2021, Ma'Khia Bryant, a 16-year-old girl, was fatally shot by police officer Nicholas Reardon in southeast Columbus, Ohio"
Killing_of_Andrew_Brown_Jr.,Andrew Brown Jr.,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in North Carolina,African Americans shot dead by law enforcement officers in North Carolina,6,United States,2021 United States racial unrest,,"On April 21, 2021, Andrew Brown Jr., a 42-year-old black American, was killed by a gunshot to the back of the head by the Sheriff Department in Elizabeth City, North Carolina, United States"
Killing_of_Winston_Boogie_Smith,Winston Boogie Smith,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Minnesota,African Americans shot dead by law enforcement officers in Minnesota,10,United States,2021 United States racial unrest,,"Law enforcement authorities fatally shot Winston Boogie Smith Jr., a 32-year-old black American man, in the Uptown area of Minneapolis at 2:08 p.m"
Killing_of_Deona_Marie_Knajdek,Deona Marie Knajdek,include,False,unestablished,no law-enforcement category among 14,,14,United States,2021 United States racial unrest,,"Deona Marie Knajdek (also reported as Deona Marie Erickson), a 31-year old American woman, was killed on June 13, 2021, when a man drove a car into a crowd of demonstrators who had gathered as a part of the Uptown Minneapolis unrest"
Killing_of_Leneal_Frazier,Leneal Frazier,include,False,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,8,United States,2021 controversies in the United States,,Leneal Frazier was a 40-year-old African American man who was killed in Minneapolis at about 12:30 a.m
Killing_of_Guillermo_Sanchez_and_Guillardo_Sanchez,Guillermo Sanchez and Guillardo Sanchez,include,False,police_violence,police-action category: Hispanic and Latino American people shot dead by law enforcement officers in California,Hispanic and Latino American people shot dead by law enforcement officers in California,7,United States,1970 in California,,"The deaths of Guillermo Sanchez and Gildardo Sanchez occurred on July 16, 1970, when the Los Angeles Police Department raided their apartment at 826 E"
Killing_of_Richard_Lee_Richards,Richard Lee Richards,include,True,police_violence,police-action category: People killed by law enforcement officers in the United States,People killed by law enforcement officers in the United States,7,,2021 in Arizona,,"Richard Lee Richards ((1960-09-13)September 13, 1960 – (2021-11-29)November 29, 2021) was a 61-year-old United States citizen who died after being shot nine times in the back by police officer Ryan Remington on November 29, 2021"
Killing_of_Amir_Locke,Amir Locke,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Minnesota,African Americans shot dead by law enforcement officers in Minnesota,12,United States,2022 controversies in the United States,,"Amir Locke, a 22-year-old Black American man, was fatally shot on February 2, 2022, by SWAT officer Mark Hanneman of the Minneapolis Police Department inside an apartment in Minneapolis, Minnesota, where police were executing a no-knock search warrant in a homicide investigation"
Killing_of_Patrick_Lyoya,Patrick Lyoya,include,True,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,12,,2022 controversies in the United States,,"On April 4, 2022, Patrick Lyoya, a 26-year-old resident of Grand Rapids, Michigan, United States, was fatally shot by Officer Christopher Schurr of the Grand Rapids Police Department during a scuffle between the two"
Gonzalo_Lopez,Gonzalo Lopez,include,True,anti_police,categorised as a perpetrator: American mass murderers,American mass murderers,22,,2005 murders in the United States,,"Gonzalo Artemio Lopez (February 10, 1976 – June 2, 2022) was an American fugitive and mass murderer who killed a total of six people in separate murders in 2005 and 2022"
Killing_of_Jayland_Walker,Jayland Walker,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Ohio,African Americans shot dead by law enforcement officers in Ohio,10,United States,2022 controversies in the United States,,"On June 27, 2022, at approximately 12:30 a.m., Akron, Ohio, police officers shot Jayland Walker, a 25-year-old American from Akron"
Killing_of_Donovan_Lewis,Donovan Lewis,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Ohio,African Americans shot dead by law enforcement officers in Ohio,11,,2022 controversies in the United States,,"On August 30, 2022, 20-year-old biracial Black man Donovan Lewis (born (2002-05-14)May 14, 2002) was shot and killed by Officer Ricky Anderson of the Columbus Division of Police (CDP) in the Hilltop neighborhood of Columbus, Ohio as officers served a warrant at his apartment"
Killing_of_Savannah_Graziano,Savannah Graziano,include,True,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,9,,2022 controversies in the United States,,"On September 27, 2022, 15-year-old Savannah Graziano and her 45-year-old father Anthony were shot and killed by deputies from the San Bernardino County Sheriff's Department during a shootout in Hesperia, California"
Death_of_Keenan_Anderson,Keenan Anderson,include,True,police_violence,listed in the Mapping Police Violence registry,,9,,2023 controversies in the United States,,"Keenan Anderson was an African American man who died on January 3, 2023, about four and a half hours after he was restrained and tasered six times by a member of the Los Angeles Police Department (LAPD)"
Killing_of_Sayed_Faisal,Sayed Faisal,include,True,police_violence,police-action category: Asian people shot dead by law enforcement officers in the United States,Asian people shot dead by law enforcement officers in the United States,5,United States,Asian people shot dead by law enforcement officers in the United States,,"The killing of Sayed Faisal was a 2023 police shooting in Cambridge, Massachusetts, United States"
Killing_of_Tyre_Nichols,Tyre Nichols,include,True,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,12,United States,2023 controversies in the United States,,"On January 7, 2023, Tyre Nichols, a 29-year-old black American man, was fatally injured by five black police officers in Memphis, Tennessee, and died three days later"
Killing_of_Ricky_Cobb_II,Ricky Cobb II,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Minnesota,African Americans shot dead by law enforcement officers in Minnesota,9,United States,African Americans shot dead by law enforcement officers in Minnesota,,"On July 31, 2023, a 33-year-old African-American man named Ricky Cobb II was shot and killed by Minnesota State Patrol troopers in Minneapolis, Minnesota following a traffic violation"
Killing_of_Eddie_Irizarry,Eddie Irizarry,include,True,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,6,,August 2023 crimes in the United States,,"On August 14, 2023, Eddie Irizarry, a 27-year-old Puerto Rican man, was shot to death in Philadelphia by Mark Dial, a white police officer"
Killing_of_Dhal_Apet_and_Lueth_Mo,Dhal Apet and Lueth Mo,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in New York (state),African Americans shot dead by law enforcement officers in New York (state),8,,African Americans shot dead by law enforcement officers in New York (state),,"On 6 September 2023, Dhal Apet, 17, and Lueth Mo, 15, were fatally shot by John Rosello, 34, a deputy sheriff employed by the Onondaga County Sheriff's Office in DeWitt, New York"
Killing_of_Nyah_Mway,Nyah Mway,include,True,police_violence,police-action category: Asian people shot dead by law enforcement officers in New York (state),Asian people shot dead by law enforcement officers in New York (state),11,,2024 controversies in the United States,,"On the night of June 28, 2024, Nyah Mway (Burmese: ညမွှေး, pronounced [ˈɲa̼ m̥wèɪ]), a thirteen-year-old Southeast Asian American refugee, was shot and killed in Utica, New York, by Patrick Husnay, an officer of the Utica Police Department (UPD)"
Killing_of_Kevin_Mullins,Kevin Mullins,include,True,police_violence,police-action category: People shot dead by law enforcement officers in Kentucky,People shot dead by law enforcement officers in Kentucky,6,United States,2024 in Kentucky,,"On September 19, 2024, District Court Judge Kevin R"
